NAME                                   SERVICE                      AVAILABLE   AGE
v1.                                    Local                        True        21d
v1.admissionregistration.k8s.io        Local                        True        21d
v1.apiextensions.k8s.io                Local                        True        21d
v1.apps                                Local                        True        21d
v1.authentication.k8s.io               Local                        True        21d
v1.authorization.k8s.io                Local                        True        21d
v1.autoscaling                         Local                        True        21d
v1.batch                               Local                        True        21d
v1.certificates.k8s.io                 Local                        True        21d
v1.coordination.k8s.io                 Local                        True        21d
v1.discovery.k8s.io                    Local                        True        21d
v1.events.k8s.io                       Local                        True        21d
v1.flowcontrol.apiserver.k8s.io        Local                        True        21d
v1.helm.cattle.io                      Local                        True        21d
v1.k3s.cattle.io                       Local                        True        21d
v1.monitoring.coreos.com               Local                        True        21d
v1.networking.k8s.io                   Local                        True        21d
v1.node.k8s.io                         Local                        True        21d
v1.policy                              Local                        True        21d
v1.rbac.authorization.k8s.io           Local                        True        21d
v1.scheduling.k8s.io                   Local                        True        21d
v1.storage.k8s.io                      Local                        True        21d
v1.velero.io                           Local                        True        21d
v1alpha1.argoproj.io                   Local                        True        21d
v1alpha1.monitoring.coreos.com         Local                        True        21d
v1alpha1.traefik.containo.us           Local                        True        21d
v1alpha1.traefik.io                    Local                        True        21d
v1beta1.metallb.io                     Local                        True        21d
v1beta1.metrics.k8s.io                 kube-system/metrics-server   True        21d
v1beta2.metallb.io                     Local                        True        21d
v1beta3.flowcontrol.apiserver.k8s.io   Local                        True        21d
v2.autoscaling                         Local                        True        21d
v2alpha1.velero.io                     Local                        True        21d
