NAME              STATUS   AGE     LABELS
argocd            Active   21d     kubernetes.io/metadata.name=argocd,name=argocd
cloudflare        Active   21d     kubernetes.io/metadata.name=cloudflare
default           Active   21d     kubernetes.io/metadata.name=default
dev               Active   21d     kubernetes.io/metadata.name=dev
kube-node-lease   Active   21d     kubernetes.io/metadata.name=kube-node-lease
kube-public       Active   21d     kubernetes.io/metadata.name=kube-public
kube-system       Active   21d     kubernetes.io/metadata.name=kube-system
metallb-system    Active   21d     kubernetes.io/metadata.name=metallb-system,name=metallb-system
monitoring        Active   21d     kubernetes.io/metadata.name=monitoring
prod              Active   21d     kubernetes.io/metadata.name=prod
sqldump           Active   4d19h   data.category=personal,kubernetes.io/metadata.name=sqldump,owner=vip-informatique,rgpd=true
traefik           Active   21d     kubernetes.io/metadata.name=traefik,name=traefik
velero            Active   21d     data.category=personal,kubernetes.io/metadata.name=velero,owner=vip-informatique,rgpd=true
