NAMESPACE         NAME                                             SECRETS   AGE
argocd            argocd-application-controller                    0         21d
argocd            argocd-applicationset-controller                 0         21d
argocd            argocd-dex-server                                0         21d
argocd            argocd-notifications-controller                  0         21d
argocd            argocd-repo-server                               0         21d
argocd            argocd-server                                    0         21d
argocd            default                                          0         21d
cloudflare        default                                          0         21d
default           default                                          0         21d
default           nfs-subdir-external-provisioner                  0         21d
dev               default                                          0         21d
kube-node-lease   default                                          0         21d
kube-public       default                                          0         21d
kube-system       attachdetach-controller                          0         21d
kube-system       certificate-controller                           0         21d
kube-system       clusterrole-aggregation-controller               0         21d
kube-system       coredns                                          0         21d
kube-system       cronjob-controller                               0         21d
kube-system       daemon-set-controller                            0         21d
kube-system       default                                          0         21d
kube-system       deployment-controller                            0         21d
kube-system       disruption-controller                            0         21d
kube-system       endpoint-controller                              0         21d
kube-system       endpointslice-controller                         0         21d
kube-system       endpointslicemirroring-controller                0         21d
kube-system       ephemeral-volume-controller                      0         21d
kube-system       expand-controller                                0         21d
kube-system       generic-garbage-collector                        0         21d
kube-system       horizontal-pod-autoscaler                        0         21d
kube-system       job-controller                                   0         21d
kube-system       kube-vip                                         0         21d
kube-system       legacy-service-account-token-cleaner             0         21d
kube-system       local-path-provisioner-service-account           0         21d
kube-system       metrics-server                                   0         21d
kube-system       namespace-controller                             0         21d
kube-system       node-controller                                  0         21d
kube-system       persistent-volume-binder                         0         21d
kube-system       pod-garbage-collector                            0         21d
kube-system       pv-protection-controller                         0         21d
kube-system       pvc-protection-controller                        0         21d
kube-system       replicaset-controller                            0         21d
kube-system       replication-controller                           0         21d
kube-system       resourcequota-controller                         0         21d
kube-system       root-ca-cert-publisher                           0         21d
kube-system       service-account-controller                       0         21d
kube-system       statefulset-controller                           0         21d
kube-system       token-cleaner                                    0         21d
kube-system       ttl-after-finished-controller                    0         21d
kube-system       ttl-controller                                   0         21d
kube-system       validatingadmissionpolicy-status-controller      0         21d
metallb-system    default                                          0         21d
metallb-system    metallb-controller                               0         21d
metallb-system    metallb-speaker                                  0         21d
monitoring        default                                          0         21d
monitoring        kube-prometheus-stack-alertmanager               0         21d
monitoring        kube-prometheus-stack-grafana                    0         21d
monitoring        kube-prometheus-stack-kube-state-metrics         0         21d
monitoring        kube-prometheus-stack-operator                   0         21d
monitoring        kube-prometheus-stack-prometheus                 0         21d
monitoring        kube-prometheus-stack-prometheus-node-exporter   0         21d
monitoring        loki                                             0         21d
monitoring        promtail                                         0         21d
prod              default                                          0         21d
sqldump           default                                          0         4d19h
sqldump           rgpd-watcher-sa                                  0         3d19h
traefik           default                                          0         21d
traefik           traefik                                          0         21d
velero            default                                          0         21d
velero            velero                                           0         19d
velero            velero-server                                    0         17d
