NAME                                                                DATA   AGE
configmap/kube-prometheus-stack-alertmanager-overview               1      17d
configmap/kube-prometheus-stack-apiserver                           1      17d
configmap/kube-prometheus-stack-cluster-total                       1      17d
configmap/kube-prometheus-stack-controller-manager                  1      17d
configmap/kube-prometheus-stack-etcd                                1      17d
configmap/kube-prometheus-stack-grafana                             1      21d
configmap/kube-prometheus-stack-grafana-config-dashboards           1      21d
configmap/kube-prometheus-stack-grafana-datasource                  1      21d
configmap/kube-prometheus-stack-grafana-overview                    1      17d
configmap/kube-prometheus-stack-k8s-coredns                         1      17d
configmap/kube-prometheus-stack-k8s-resources-cluster               1      17d
configmap/kube-prometheus-stack-k8s-resources-multicluster          1      17d
configmap/kube-prometheus-stack-k8s-resources-namespace             1      17d
configmap/kube-prometheus-stack-k8s-resources-node                  1      17d
configmap/kube-prometheus-stack-k8s-resources-pod                   1      17d
configmap/kube-prometheus-stack-k8s-resources-workload              1      17d
configmap/kube-prometheus-stack-k8s-resources-workloads-namespace   1      17d
configmap/kube-prometheus-stack-kubelet                             1      17d
configmap/kube-prometheus-stack-namespace-by-pod                    1      17d
configmap/kube-prometheus-stack-namespace-by-workload               1      17d
configmap/kube-prometheus-stack-node-cluster-rsrc-use               1      17d
configmap/kube-prometheus-stack-node-rsrc-use                       1      17d
configmap/kube-prometheus-stack-nodes                               1      17d
configmap/kube-prometheus-stack-nodes-aix                           1      17d
configmap/kube-prometheus-stack-nodes-darwin                        1      17d
configmap/kube-prometheus-stack-persistentvolumesusage              1      17d
configmap/kube-prometheus-stack-pod-total                           1      17d
configmap/kube-prometheus-stack-prometheus                          1      17d
configmap/kube-prometheus-stack-proxy                               1      17d
configmap/kube-prometheus-stack-scheduler                           1      17d
configmap/kube-prometheus-stack-workload-total                      1      17d
configmap/kube-root-ca.crt                                          1      21d
configmap/loki                                                      1      21d
configmap/loki-runtime                                              1      21d
configmap/prometheus-kube-prometheus-stack-prometheus-rulefiles-0   35     17d

NAME                                                                                    TYPE                 DATA   AGE
secret/alertmanager-kube-prometheus-stack-alertmanager                                  Opaque               1      21d
secret/alertmanager-kube-prometheus-stack-alertmanager-cluster-tls-config               Opaque               1      21d
secret/alertmanager-kube-prometheus-stack-alertmanager-generated                        Opaque               1      21d
secret/alertmanager-kube-prometheus-stack-alertmanager-tls-assets-0                     Opaque               0      21d
secret/alertmanager-kube-prometheus-stack-alertmanager-web-config                       Opaque               1      21d
secret/kube-prometheus-stack-admission                                                  Opaque               3      21d
secret/kube-prometheus-stack-grafana                                                    Opaque               3      21d
secret/kube-prometheus-stack-prometheus-scrape-confg                                    Opaque               1      21d
secret/prometheus-kube-prometheus-stack-prometheus                                      Opaque               1      21d
secret/prometheus-kube-prometheus-stack-prometheus-thanos-prometheus-http-client-file   Opaque               1      21d
secret/prometheus-kube-prometheus-stack-prometheus-tls-assets-0                         Opaque               1      21d
secret/prometheus-kube-prometheus-stack-prometheus-web-config                           Opaque               1      21d
secret/promtail                                                                         Opaque               1      21d
secret/sh.helm.release.v1.kube-prometheus-stack.v20                                     helm.sh/release.v1   1      4d20h
secret/sh.helm.release.v1.kube-prometheus-stack.v21                                     helm.sh/release.v1   1      4d20h
secret/sh.helm.release.v1.kube-prometheus-stack.v22                                     helm.sh/release.v1   1      4d20h
secret/sh.helm.release.v1.kube-prometheus-stack.v23                                     helm.sh/release.v1   1      4d20h
secret/sh.helm.release.v1.kube-prometheus-stack.v24                                     helm.sh/release.v1   1      4d20h
secret/sh.helm.release.v1.kube-prometheus-stack.v25                                     helm.sh/release.v1   1      4d20h
secret/sh.helm.release.v1.kube-prometheus-stack.v26                                     helm.sh/release.v1   1      4d20h
secret/sh.helm.release.v1.kube-prometheus-stack.v27                                     helm.sh/release.v1   1      4d20h
secret/sh.helm.release.v1.kube-prometheus-stack.v28                                     helm.sh/release.v1   1      4d20h
secret/sh.helm.release.v1.kube-prometheus-stack.v29                                     helm.sh/release.v1   1      2d17h
secret/sh.helm.release.v1.loki.v1                                                       helm.sh/release.v1   1      21d
secret/sh.helm.release.v1.loki.v2                                                       helm.sh/release.v1   1      21d
secret/sh.helm.release.v1.loki.v3                                                       helm.sh/release.v1   1      21d
secret/sh.helm.release.v1.loki.v4                                                       helm.sh/release.v1   1      20d
secret/sh.helm.release.v1.loki.v5                                                       helm.sh/release.v1   1      12d
secret/sh.helm.release.v1.loki.v6                                                       helm.sh/release.v1   1      6d19h
secret/sh.helm.release.v1.loki.v7                                                       helm.sh/release.v1   1      4d20h
secret/sh.helm.release.v1.loki.v8                                                       helm.sh/release.v1   1      2d17h
secret/sh.helm.release.v1.promtail.v10                                                  helm.sh/release.v1   1      4d20h
secret/sh.helm.release.v1.promtail.v11                                                  helm.sh/release.v1   1      4d20h
secret/sh.helm.release.v1.promtail.v12                                                  helm.sh/release.v1   1      4d20h
secret/sh.helm.release.v1.promtail.v13                                                  helm.sh/release.v1   1      4d20h
secret/sh.helm.release.v1.promtail.v14                                                  helm.sh/release.v1   1      4d20h
secret/sh.helm.release.v1.promtail.v15                                                  helm.sh/release.v1   1      4d20h
secret/sh.helm.release.v1.promtail.v16                                                  helm.sh/release.v1   1      2d17h
secret/sh.helm.release.v1.promtail.v7                                                   helm.sh/release.v1   1      5d5h
secret/sh.helm.release.v1.promtail.v8                                                   helm.sh/release.v1   1      4d22h
secret/sh.helm.release.v1.promtail.v9                                                   helm.sh/release.v1   1      4d21h
