NAME                                                   ADDRESSTYPE   PORTS            ENDPOINTS                                            AGE
alertmanager-operated-49z59                            IPv4          9093,9094,9094   10.42.3.108                                          21d
kube-prometheus-stack-alertmanager-5m6xw               IPv4          8080,9093        10.42.3.108                                          21d
kube-prometheus-stack-grafana-2wnlw                    IPv4          3000             10.42.1.68                                           21d
kube-prometheus-stack-kube-state-metrics-6hdjj         IPv4          8080             10.42.1.65                                           21d
kube-prometheus-stack-operator-xj6wh                   IPv4          10250            10.42.1.66                                           21d
kube-prometheus-stack-prometheus-node-exporter-67pk7   IPv4          9100             192.168.88.8,192.168.88.7,192.168.88.9 + 3 more...   21d
kube-prometheus-stack-prometheus-tzhvc                 IPv4          8080,9090        10.42.2.36                                           21d
loki-headless-dhbsl                                    IPv4          3100             10.42.1.82                                           21d
loki-kd9mk                                             IPv4          9095,3100        10.42.1.82                                           21d
loki-memberlist-c66s7                                  IPv4          7946             10.42.1.82                                           21d
prometheus-operated-z7b7x                              IPv4          9090             10.42.2.36                                           21d
